"foco";"nivel_cbbe";"num_pergunta_1";"pergunta_1";"subtitulo_1";"resposta_1";"texto_resposta_1";"num_pergunta_2";"pergunta_2";"subtitulo_2";"resposta_2";"texto_resposta_2";"cruzamento";"pontos";"tipo";"diagnostico"
"1";"Saliência";"1";"Com que previsibilidade sua marca publica?";"Se alguém abrir seus canais, encontra publicações em intervalos parecidos ou longos períodos sem nada?";"A";"Não há ritmo definido. A publicação acontece quando surge uma novidade ou quando sobra tempo.";"2";"Sua marca é reconhecível de imediato?";"Alguém saberia que a publicação é sua sem ver o nome ou logo?";"A";"Provavelmente não. Cada publicação segue um estilo, formato ou tom diferente.";"AA";"2";"Diagonal";"Sua marca ainda não construiu lembrança. Publicar sem ritmo e sem elementos que se repitam significa que **cada publicação começa de zero**: nada se acumula na memória de quem vê. O efeito prático é que sua marca não é considerada quando o cliente decide, porque não é lembrada. O primeiro passo não é publicar mais, é definir uma frequência mínima sustentável e um conjunto fixo de elementos visuais e de linguagem para repetir."
"1";"Saliência";"1";"Com que previsibilidade sua marca publica?";"Se alguém abrir seus canais, encontra publicações em intervalos parecidos ou longos períodos sem nada?";"A";"Não há ritmo definido. A publicação acontece quando surge uma novidade ou quando sobra tempo.";"2";"Sua marca é reconhecível de imediato?";"Alguém saberia que a publicação é sua sem ver o nome ou logo?";"B";"Em parte. Alguns elementos se repetem, outros mudam com frequência ou variam de um canal para outro.";"AB";"3";"Desequilíbrio";"Sua marca já tem alguns elementos reconhecíveis, mas eles aparecem em intervalos irregulares. **Reconhecimento sem repetição não se fixa**: quando o intervalo entre publicações é longo, a memória se desfaz antes do próximo contato. O que existe de identidade está sendo desperdiçado por falta de frequência. O passo seguinte é estabelecer um ritmo mínimo antes de investir em qualquer refinamento de identidade."
"1";"Saliência";"1";"Com que previsibilidade sua marca publica?";"Se alguém abrir seus canais, encontra publicações em intervalos parecidos ou longos períodos sem nada?";"A";"Não há ritmo definido. A publicação acontece quando surge uma novidade ou quando sobra tempo.";"2";"Sua marca é reconhecível de imediato?";"Alguém saberia que a publicação é sua sem ver o nome ou logo?";"C";"Sim. Cores, tipografia, tom ou formatos se repetem de forma reconhecível.";"AC";"4";"Desequilíbrio";"Sua marca tem identidade consolidada e publica sem previsibilidade. Essa é **a combinação de maior desperdício**: existe um patrimônio visual e de linguagem pronto para gerar lembrança, e ele é acionado poucas vezes. Identidade forte com presença irregular produz reconhecimento sem lembrança: as pessoas identificam sua marca quando a veem, mas não pensam nela quando precisam decidir. O passo é converter a identidade já existente em um calendário editorial planejado com antecedência."
"1";"Saliência";"1";"Com que previsibilidade sua marca publica?";"Se alguém abrir seus canais, encontra publicações em intervalos parecidos ou longos períodos sem nada?";"B";"A frequência oscila conforme a demanda de cada período.";"2";"Sua marca é reconhecível de imediato?";"Alguém saberia que a publicação é sua sem ver o nome ou logo?";"A";"Provavelmente não. Cada publicação segue um estilo, formato ou tom diferente.";"BA";"3";"Desequilíbrio";"Sua marca publica, mas nada nela se repete o suficiente para ser identificado. Frequência oscilante somada a estilo variável significa que o esforço de produção não se converte em memória de marca: cada publicação é lida como um item isolado, não como parte de um conjunto. **É volume sem acúmulo**. Antes de aumentar a frequência, defina um padrão escrito de identidade: cores, tipografia, tom e formatos recorrentes."
"1";"Saliência";"1";"Com que previsibilidade sua marca publica?";"Se alguém abrir seus canais, encontra publicações em intervalos parecidos ou longos períodos sem nada?";"B";"A frequência oscila conforme a demanda de cada período.";"2";"Sua marca é reconhecível de imediato?";"Alguém saberia que a publicação é sua sem ver o nome ou logo?";"B";"Em parte. Alguns elementos se repetem, outros mudam com frequência ou variam de um canal para outro.";"BB";"4";"Diagonal";"Sua marca está em construção nas duas frentes, sem consolidar nenhuma. A frequência varia conforme a demanda e a identidade varia conforme a publicação, então o pouco que se acumula é constantemente reiniciado. Esse é o cenário mais comum e o mais custoso: **há trabalho sendo feito, e ele não se transforma em ativo**. O caminho é escolher uma frequência que caiba na rotina real e fixar os elementos de identidade por escrito antes de aumentar o volume."
"1";"Saliência";"1";"Com que previsibilidade sua marca publica?";"Se alguém abrir seus canais, encontra publicações em intervalos parecidos ou longos períodos sem nada?";"B";"A frequência oscila conforme a demanda de cada período.";"2";"Sua marca é reconhecível de imediato?";"Alguém saberia que a publicação é sua sem ver o nome ou logo?";"C";"Sim. Cores, tipografia, tom ou formatos se repetem de forma reconhecível.";"BC";"5";"Desequilíbrio";"Sua marca é reconhecível, e a frequência com que aparece depende do período. A identidade já está resolvida; **o gargalo é a constância**. Presença que oscila conforme a demanda produz lembrança intermitente: sua marca é forte para quem já acompanha e ausente para quem está decidindo agora. A lacuna aqui é de planejamento, não de criação: um calendário editorial construído com antecedência é o que sustenta a frequência nos períodos de trabalho pesado."
"1";"Saliência";"1";"Com que previsibilidade sua marca publica?";"Se alguém abrir seus canais, encontra publicações em intervalos parecidos ou longos períodos sem nada?";"C";"A frequência se mantém de forma consistente.";"2";"Sua marca é reconhecível de imediato?";"Alguém saberia que a publicação é sua sem ver o nome ou logo?";"A";"Provavelmente não. Cada publicação segue um estilo, formato ou tom diferente.";"CA";"4";"Desequilíbrio";"Sua marca aparece com constância, e cada aparição parece de uma marca diferente. Constância é a parte mais difícil, e ela já está resolvida, mas sem elementos que se repitam, a repetição de contato não gera reconhecimento. O resultado é **presença sem memória**: sua marca é vista muitas vezes e lembrada poucas. O passo de maior retorno imediato é definir um padrão escrito de identidade visual e verbal, porque ele multiplica o efeito de um volume de publicação que você já produz."
"1";"Saliência";"1";"Com que previsibilidade sua marca publica?";"Se alguém abrir seus canais, encontra publicações em intervalos parecidos ou longos períodos sem nada?";"C";"A frequência se mantém de forma consistente.";"2";"Sua marca é reconhecível de imediato?";"Alguém saberia que a publicação é sua sem ver o nome ou logo?";"B";"Em parte. Alguns elementos se repetem, outros mudam com frequência ou variam de um canal para outro.";"CB";"5";"Desequilíbrio";"Sua marca publica com consistência e já tem elementos que se repetem, embora ainda variem. Você está perto de consolidar a lembrança de marca: a frequência sustenta o contato e a identidade começa a fixar. O que impede o acúmulo total é a variação: **a cada canal ou assunto novo, parte do reconhecimento se reinicia**. Formalizar os elementos em um padrão escrito é o que transforma repetição em ativo reconhecível."
"1";"Saliência";"1";"Com que previsibilidade sua marca publica?";"Se alguém abrir seus canais, encontra publicações em intervalos parecidos ou longos períodos sem nada?";"C";"A frequência se mantém de forma consistente.";"2";"Sua marca é reconhecível de imediato?";"Alguém saberia que a publicação é sua sem ver o nome ou logo?";"C";"Sim. Cores, tipografia, tom ou formatos se repetem de forma reconhecível.";"CC";"6";"Diagonal";"Sua marca publica com consistência e é reconhecível: a base da lembrança de marca está construída, e a maior parte não chega até aqui. A questão deixa de ser presença e passa a ser dependência: se a regularidade não está apoiada em um calendário editorial planejado com antecedência, e os elementos que tornam sua marca reconhecível não estão definidos em um padrão escrito, **os dois resultados dependem de quem produz hoje**. Presença consistente sem planejamento é a primeira coisa a cair quando o trabalho aumenta, e o próximo nível, o de significado, exige que essa base sobreviva a isso."
"2";"Significado";"3";"Está claro o que sua marca faz e para quem?";"Quem chega pela primeira vez entende sozinho ou precisa perguntar?";"A";"Provavelmente precisa perguntar. A descrição serve para quase qualquer público.";"4";"Sua marca comunica como pensa, além do que vende?";"Seu conteúdo fala só da oferta ou também dos seus critérios e do seu jeito de trabalhar?";"A";"Fala principalmente da oferta: serviços, produtos, condições, resultados.";"AA";"2";"Diagonal";"Sua marca é vista e ainda não significa nada específico. Sem entrega e público delimitados, e sem comunicar critérios próprios, sua marca é percebida como uma opção genérica da categoria, e **opção genérica é comparada por preço**. O primeiro passo é definir com precisão o que sua marca entrega e para quem, porque essa definição é o que vai orientar tudo que ela publica e tudo que ela recusa."
